"CODE";"FR";"CODE_light";"niveau";"genealogieCode";"genealogieLabel"
"31121200-2";"Groupes électrogènes à moteurs à allumage par étincelle";"311212";6;"3|31|311|3112|31121";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Générateurs|Groupes électrogènes"
"31121300-3";"Aérogénérateurs";"311213";6;"3|31|311|3112|31121";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Générateurs|Groupes électrogènes"
"31121310-6";"Éoliennes";"3112131";7;"3|31|311|3112|31121|311213";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Générateurs|Groupes électrogènes|Aérogénérateurs"
"31121320-9";"Turbines éoliennes";"3112132";7;"3|31|311|3112|31121|311213";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Générateurs|Groupes électrogènes|Aérogénérateurs"
"31121330-2";"Générateurs à turbines éoliennes";"3112133";7;"3|31|311|3112|31121|311213";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Générateurs|Groupes électrogènes|Aérogénérateurs"
"31121331-9";"Rotors de turbine";"31121331";8;"3|31|311|3112|31121|311213|3112133";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Générateurs|Groupes électrogènes|Aérogénérateurs|Générateurs à turbines éoliennes"
"31121340-5";"Ferme éolienne";"3112134";7;"3|31|311|3112|31121|311213";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Générateurs|Groupes électrogènes|Aérogénérateurs"
"31122000-7";"Groupes générateurs";"31122";5;"3|31|311|3112";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Générateurs"
"31122100-8";"Piles à combustible";"311221";6;"3|31|311|3112|31122";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Générateurs|Groupes générateurs"
"31124000-1";"Générateur à turbine à vapeur et appareillage";"31124";5;"3|31|311|3112";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Générateurs"
"31124100-2";"Générateurs à turbines";"311241";6;"3|31|311|3112|31124";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Générateurs|Générateur à turbine à vapeur et appareillage"
"31124200-3";"Appareils de commande de générateurs à turbines";"311242";6;"3|31|311|3112|31124";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Générateurs|Générateur à turbine à vapeur et appareillage"
"31126000-5";"Dynamos";"31126";5;"3|31|311|3112";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Générateurs"
"31127000-2";"Générateur de secours";"31127";5;"3|31|311|3112";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Générateurs"
"31128000-9";"Turbogénérateur";"31128";5;"3|31|311|3112";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Générateurs"
"31130000-6";"Alternateurs";"3113";4;"3|31|311";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques"
"31131000-3";"Moteurs monophasés";"31131";5;"3|31|311|3113";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Alternateurs"
"31131100-4";"Actionneurs";"311311";6;"3|31|311|3113|31131";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Alternateurs|Moteurs monophasés"
"31131200-5";"Anodes";"311312";6;"3|31|311|3113|31131";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Alternateurs|Moteurs monophasés"
"31132000-0";"Moteurs polyphasés";"31132";5;"3|31|311|3113";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Alternateurs"
"31140000-9";"Tours de refroidissement";"3114";4;"3|31|311";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques"
"31141000-6";"Refroidisseurs d'eau";"31141";5;"3|31|311|3114";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Tours de refroidissement"
"31150000-2";"Ballast pour lampes ou tubes à décharge";"3115";4;"3|31|311";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques"
"31151000-9";"Convertisseurs statiques";"31151";5;"3|31|311|3115";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Ballast pour lampes ou tubes à décharge"
"31153000-3";"Redresseurs";"31153";5;"3|31|311|3115";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Ballast pour lampes ou tubes à décharge"
"31154000-0";"Sources d'alimentation électrique ininterruptible";"31154";5;"3|31|311|3115";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Ballast pour lampes ou tubes à décharge"
"31155000-7";"Onduleurs";"31155";5;"3|31|311|3115";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Ballast pour lampes ou tubes à décharge"
"31156000-4";"Alimentation interruptible en courant";"31156";5;"3|31|311|3115";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Ballast pour lampes ou tubes à décharge"
"31157000-1";"Inducteurs";"31157";5;"3|31|311|3115";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Machines, appareils, équipements et consommables électriques, éclairage|Moteurs, générateurs et transformateurs électriques|Ballast pour lampes ou tubes à décharge"
